Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name
S26224100002,06/16/2015,4496,B P ON 1ST,"2824, 1ST AVE NE",CEDAR RAPIDS,52402,"2824, 1ST AVE NE
CEDAR RAPIDS 52402
(42.005867, -91.634838)",57,Linn,1022100,TEQUILA
S22381000069,11/17/2014,3562,Wal-Mart 0797 / W Burlington,324 WEST AGENCY RD,WEST BURLINGTON,52655,"324 WEST AGENCY RD
WEST BURLINGTON 52655
(40.813125, -91.158406)",29,Des Moines,1031080,VODKA 80 PROOF
S13943500071,08/15/2013,2663,Hy-Vee / Urbandale,8701 DOUGLAS,URBANDALE,50322,"8701 DOUGLAS
URBANDALE 50322
(41.629365, -93.739245)",77,Polk,1081200,CREAM LIQUEURS
S22543500001,11/21/2014,3871,Target Store T-0069 / WDM,1800  35TH ST,WEST DES MOINES,50266,"1800 35TH ST
WEST DES MOINES 50266
(41.598813, -93.751998)",77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM
S27921200058,09/16/2015,2548,Hy-Vee Food Store / Altoona,100 8TH STREET SW,ALTOONA,50009,"100 8TH STREET SW
ALTOONA 50009
(41.644041, -93.465301)",77,Polk,1071100,AMERICAN COCKTAILS
S28981200025,11/11/2015,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,"1823 E KIMBERLY RD
DAVENPORT 52807
(41.556781, -90.548919)",82,Scott,1062300,FLAVORED RUM
S12746200010,06/12/2013,3682,Jumbo's,110 E MAIN ST,WESLEY,50483,"110 E MAIN ST
WESLEY 50483
(43.088189, -93.990043)",55,Kossuth,1022100,TEQUILA
S28007200192,09/21/2015,2506,Hy-Vee #1044 / Burlington,3140 AGENCY,BURLINGTON,52601,"3140 AGENCY
BURLINGTON 52601
(40.814689, -91.137509)",29,Des Moines,1062300,FLAVORED RUM
S17507800159,02/20/2014,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,"1501 MICHIGAN AVE
DES MOINES 50314
(41.605561, -93.613738)",77,Polk,1012200,SCOTCH WHISKIES
S07309000002,08/27/2012,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,"1460 2ND AVE
DES MOINES 50314
(41.60566, -93.619787)",77,Polk,1081330,PEACH SCHNAPPS
S06272700049,06/27/2012,4619,Smokin' Joe's #3 Tobacco and Liquor,1737 AVE H,FORT MADISON,52627,"1737 AVE H
FORT MADISON 52627
(40.63021, -91.329824)",56,Lee,1012100,CANADIAN WHISKIES
S21618100077,10/07/2014,2556,Hy-Vee Wine and Spirits / Esthervill,2608 E. CENTRAL AVENUE,ESTHERVILLE,51334,"2608 E. CENTRAL AVENUE
ESTHERVILLE 51334
",32,Emmet,1022100,TEQUILA
S21342300094,09/22/2014,4152,Food Land Super Markets / Missouri V,407 W HURON,MISSOURI VALLEY,51555,"407 W HURON
MISSOURI VALLEY 51555
(41.557404, -95.899334)",43,Harrison,1071100,AMERICAN COCKTAILS
S09391500015,12/10/2012,4105,Fareway Stores #426 / Nevada,1505 SOUTH B AVE,NEVADA,50201,"1505 SOUTH B AVE
NEVADA 50201
(42.009797, -93.439899)",85,Story,1062310,SPICED RUM
S23997700093,02/11/2015,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,"1823 E KIMBERLY RD
DAVENPORT 52807
(41.556781, -90.548919)",82,Scott,1022100,TEQUILA
